hgnc_symbol	ensembl_gene_id	entrez_gene_id
TBX3	ENSG00000135111	6926
HOXB2	ENSG00000173917	3212
HOXA11	ENSG00000005073	3207
ZIC1	ENSG00000152977	7545
LGR5	ENSG00000139292	8549
RPS4Y1	ENSG00000129824	6192
HOXD8	ENSG00000175879	3234
HOXA10	ENSG00000253293	3206
STC1	ENSG00000159167	6781
XIST	ENSG00000229807	7503
IGFBP2	ENSG00000115457	3485
KRTAP1-5	ENSG00000221852	83895
KRTAP1-5	ENSG00000261862	83895
SCD5	ENSG00000145284	79966
F2R	ENSG00000181104	2149
TRHDE	ENSG00000072657	29953
FN1	ENSG00000115414	2335
ADAMTSL1	ENSG00000178031	92949
NTN4	ENSG00000074527	59277
ERCC6	ENSG00000225830	2074
EDIL3	ENSG00000164176	10085
FLT1	ENSG00000102755	2321
CARD9	ENSG00000187796	64170
GLIS3	ENSG00000107249	169792
SHOX	ENSG00000185960	6473
TBX4	ENSG00000121075	9496
HERC2P3	ENSG00000180229	283755
LNX1	ENSG00000072201	84708
AGTR1	ENSG00000144891	185
FOXF1	ENSG00000103241	2294
TENM2	ENSG00000145934	57451
STRA6	ENSG00000137868	64220
STRA6	ENSG00000288257	64220
CPZ	ENSG00000109625	8532
BEX4	ENSG00000102409	56271
ADGRD1	ENSG00000111452	283383
RNF11	ENSG00000123091	26994
PORCN	ENSG00000102312	64840
INAFM2	ENSG00000259330	100505573
FGFRL1	ENSG00000127418	53834
SYNPO2	ENSG00000172403	171024
CMKLR1	ENSG00000174600	1240
ADAMTS7	ENSG00000136378	11173
COL11A1	ENSG00000060718	1301
DISP2	ENSG00000140323	85455
LXN	ENSG00000079257	56925
FLRT3	ENSG00000125848	23767
TRIM22	ENSG00000132274	10346
C8orf4	NA	NA
ELFN2	ENSG00000166897	114794
F2RL1	ENSG00000164251	2150
JUP	ENSG00000173801	3728
SERINC2	ENSG00000168528	347735
PSG5	ENSG00000204941	5673
NLGN4X	ENSG00000146938	57502
HACD1	ENSG00000165996	9200
MID1	ENSG00000101871	4281
HECW2	ENSG00000138411	57520
SGMS2	ENSG00000164023	166929
HOXB3	ENSG00000120093	3213
DDIT4L	ENSG00000145358	115265
TRIB2	ENSG00000071575	28951
DNAJB4	ENSG00000162616	11080
DDR1	ENSG00000137332	780
DDR1	ENSG00000204580	780
DDR1	ENSG00000215522	780
DDR1	ENSG00000223680	780
DDR1	ENSG00000229767	780
DDR1	ENSG00000230456	780
DDR1	ENSG00000234078	780
HOXD4	ENSG00000170166	3233
SCARB1	ENSG00000073060	949
KCNK6	ENSG00000099337	9424
PNMAL1	NA	NA
FAM65C	NA	NA
ATL1	ENSG00000198513	51062
GALNT5	ENSG00000136542	11227
HAPLN1	ENSG00000145681	1404
TBX15	ENSG00000092607	6913
CALD1	ENSG00000122786	800
EN1	ENSG00000163064	2019
HOXA11-AS	ENSG00000240990	221883
EPHB2	ENSG00000133216	2048
LMCD1	ENSG00000071282	29995
LINC00856	NA	NA
SLC9A5	ENSG00000135740	6553
F2RL2	ENSG00000164220	2151
MAB21L1	ENSG00000180660	4081
CLIC6	ENSG00000159212	54102
MMP10	ENSG00000166670	4319
SLC12A7	ENSG00000113504	10723
SLC12A7	ENSG00000276482	10723
SOWAHC	ENSG00000198142	65124
APBA2	ENSG00000034053	321
APBA2	ENSG00000276495	321
PFN2	ENSG00000070087	5217
HOXB4	ENSG00000182742	3214
LYPD6B	ENSG00000150556	130576
CNTN1	ENSG00000018236	1272
FHAD1	ENSG00000142621	114827
GJA1	ENSG00000152661	2697
TRHDE-AS1	ENSG00000236333	NA
PDE7B	ENSG00000171408	27115
SNCAIP	ENSG00000064692	9627
FGF5	ENSG00000138675	2250
MOK	ENSG00000080823	5891
ACP5	ENSG00000102575	54
SEMA4D	ENSG00000187764	10507
SRD5A2	ENSG00000277893	6716
LRRC32	ENSG00000137507	2615
TSHZ2	ENSG00000182463	128553
MATN3	ENSG00000132031	4148
FOXQ1	ENSG00000164379	94234
SYBU	ENSG00000147642	55638
CES1	ENSG00000198848	1066
CES1	ENSG00000262243	1066
VWCE	ENSG00000167992	220001
CYP2U1	ENSG00000155016	113612
KIT	ENSG00000157404	3815
KIF26A	ENSG00000066735	26153
FAM65A	NA	NA
LINC01116	ENSG00000163364	NA
PTPRN	ENSG00000054356	5798
FMN2	ENSG00000155816	56776
TRIB1	ENSG00000173334	10221
HOXD10	ENSG00000128710	3236
SLC38A1	ENSG00000111371	81539
SERTAD2	ENSG00000179833	9792
ATP10D	ENSG00000145246	57205
EYA1	ENSG00000104313	2138
CPNE7	ENSG00000178773	27132
RNF144A	ENSG00000151692	9781
SDK2	ENSG00000069188	54549
NRN1	ENSG00000124785	51299
ADAM19	ENSG00000135074	8728
RHOQ	ENSG00000119729	23433
RAI14	ENSG00000039560	26064
CARD10	ENSG00000100065	29775
HAGLR	ENSG00000224189	401022
NRXN2	ENSG00000110076	9379
GAS6	ENSG00000183087	2621
RASGRF2	ENSG00000113319	5924
PREX1	ENSG00000124126	57580
ABCC3	ENSG00000108846	8714
CXCL14	ENSG00000145824	9547
DIO2	ENSG00000211448	1734
SEZ6L2	ENSG00000174938	26470
DIRAS3	ENSG00000162595	9077
DOK5	ENSG00000101134	55816
SOCS3	ENSG00000184557	9021
BMP2	ENSG00000125845	650
GAL	ENSG00000069482	51083
