ensembl_gene_id,sepwes003,sepwes006,sepwes007,sepwes008,sepwes009,sepwes010,sepwes011,sepwes012
ENSG00000000419,8,8,8,8,8,8,8,8
ENSG00000000457,9,8,8,8,8,8,8,8
ENSG00000000460,5,5,6,6,5,6,6,6
ENSG00000000938,13,14,13,15,11,13,11,12
ENSG00000000971,6,5,6,3,4,6,8,6
ENSG00000001036,9,7,8,8,7,8,8,8
ENSG00000001084,8,7,7,6,8,8,8,7
ENSG00000001167,9,9,9,8,8,8,8,9
ENSG00000001460,4,5,4,4,5,5,5,5
ENSG00000001461,8,7,8,8,9,8,9,8
ENSG00000001497,7,7,7,7,8,7,8,8
ENSG00000001561,6,7,7,5,8,9,7,5
ENSG00000001629,9,8,9,7,9,8,8,8
ENSG00000001631,7,8,7,7,8,8,8,8
ENSG00000002016,6,6,6,5,7,5,6,6
ENSG00000002330,6,7,6,8,6,7,7,6
ENSG00000002549,14,10,13,8,10,8,8,11
ENSG00000002586,10,10,10,11,10,9,10,10
ENSG00000002726,4,5,5,3,5,8,6,4
ENSG00000002822,7,7,6,7,8,7,8,7
ENSG00000002834,12,13,12,14,11,12,11,12
ENSG00000002919,9,9,9,10,8,9,8,9
ENSG00000002933,7,7,8,6,7,8,8,10
ENSG00000003056,10,10,10,9,10,10,10,11
ENSG00000003147,5,6,6,5,4,7,5,5
ENSG00000003249,4,3,5,5,7,3,4,4
ENSG00000003393,7,6,7,6,7,7,7,6
ENSG00000003400,11,9,11,9,8,9,9,10
ENSG00000003402,14,14,13,14,12,13,12,13
ENSG00000003436,5,4,5,5,3,4,4,5
ENSG00000003509,6,7,6,7,8,8,7,7
ENSG00000003756,11,11,11,11,11,11,11,11
ENSG00000004059,9,9,9,10,8,9,8,8
ENSG00000004139,6,6,6,6,8,7,7,7
ENSG00000004142,8,9,8,9,8,9,8,8
ENSG00000004399,8,10,8,9,8,9,9,9
ENSG00000004455,9,9,9,9,10,10,9,9
ENSG00000004468,10,8,9,8,8,8,7,9
ENSG00000004478,11,10,9,8,9,7,8,9
ENSG00000004487,8,8,8,8,9,7,9,9
ENSG00000004534,10,9,10,10,10,10,10,11
ENSG00000004660,6,8,6,9,6,9,8,8
ENSG00000004700,9,8,9,7,9,8,9,9
ENSG00000004766,8,7,8,5,8,7,8,8
ENSG00000004777,5,5,5,6,5,6,5,6
ENSG00000004779,7,7,7,6,7,6,7,7
ENSG00000004799,9,9,8,7,7,8,9,8
ENSG00000004809,7,5,5,4,3,6,5,4
ENSG00000004838,4,4,3,5,4,5,5,4
ENSG00000004864,7,6,7,6,6,7,6,6
ENSG00000004866,6,6,5,7,6,6,6,6
ENSG00000004897,9,9,9,8,9,9,9,9
ENSG00000004939,13,11,11,12,9,13,11,10
ENSG00000004961,8,8,7,7,8,7,7,7
ENSG00000004975,6,7,5,7,7,7,7,7
ENSG00000005007,10,11,10,11,9,10,10,10
ENSG00000005020,11,12,11,12,9,11,10,11
ENSG00000005022,9,9,9,10,9,10,10,9
ENSG00000005059,9,8,9,8,9,7,9,9
ENSG00000005075,8,8,7,9,7,8,7,7
ENSG00000005100,7,7,7,6,6,7,7,7
ENSG00000005102,4,4,4,4,3,3,5,4
ENSG00000005156,8,7,8,6,8,9,8,8
ENSG00000005175,9,7,9,8,8,7,8,8
ENSG00000005187,6,4,7,5,9,6,6,5
ENSG00000005189,4,4,5,5,4,6,4,4
ENSG00000005194,7,7,7,7,7,7,7,7
ENSG00000005206,6,6,7,7,7,8,7,7
ENSG00000005238,10,10,9,11,7,10,9,9
ENSG00000005249,10,9,9,10,7,8,9,8
ENSG00000005302,11,12,11,12,10,11,10,10
ENSG00000005339,11,11,11,11,10,11,10,11
ENSG00000005379,6,6,6,6,7,7,8,7
ENSG00000005381,7,6,7,7,4,13,7,6
ENSG00000005436,6,5,5,5,9,6,7,6
ENSG00000005448,4,5,4,6,6,5,6,6
ENSG00000005469,6,5,6,5,6,5,7,6
ENSG00000005471,4,5,3,3,8,3,4,4
ENSG00000005483,11,11,11,11,11,10,10,11
ENSG00000005486,8,8,7,10,8,8,7,8
ENSG00000005700,8,8,8,7,9,8,9,7
ENSG00000005801,7,7,7,6,8,7,8,7
ENSG00000005810,11,9,11,9,10,9,10,10
ENSG00000005812,10,10,10,9,9,9,10,9
ENSG00000005844,12,12,11,13,10,11,11,12
ENSG00000005882,6,5,6,7,8,6,7,6
ENSG00000005884,5,3,5,6,7,4,6,5
ENSG00000005889,9,9,9,8,8,9,8,8
ENSG00000005893,12,12,12,12,10,12,11,12
ENSG00000005961,9,8,8,12,7,8,9,9
ENSG00000006007,10,10,10,11,9,10,10,10
ENSG00000006015,6,6,6,6,7,7,7,6
ENSG00000006025,6,6,6,6,8,6,7,7
ENSG00000006062,8,7,7,8,10,7,8,8
ENSG00000006125,11,11,11,11,11,10,10,11
ENSG00000006194,7,7,7,8,9,7,8,7
ENSG00000006282,7,6,6,6,7,6,7,6
ENSG00000006327,4,4,4,6,4,5,5,4
ENSG00000006432,4,5,5,5,8,5,6,5
ENSG00000006451,8,8,8,7,8,7,8,8
ENSG00000006459,10,10,10,10,9,11,9,9
ENSG00000006530,7,7,7,6,7,6,7,7
ENSG00000006534,9,9,8,10,7,10,8,9
ENSG00000006555,5,6,5,6,7,7,7,6
ENSG00000006576,8,7,8,6,9,8,9,8
ENSG00000006607,7,6,8,5,9,6,7,7
ENSG00000006625,5,4,5,5,6,6,6,5
ENSG00000006634,5,5,6,5,7,7,7,6
ENSG00000006638,5,5,4,5,6,4,5,4
ENSG00000006652,9,10,9,10,8,10,9,9
ENSG00000006695,6,6,7,5,6,5,6,6
ENSG00000006712,9,9,9,10,9,9,8,9
ENSG00000006715,10,9,10,9,9,9,9,10
ENSG00000006740,4,3,3,3,9,3,4,3
ENSG00000006744,8,8,8,8,8,7,8,8
ENSG00000006756,9,8,8,8,8,9,8,8
ENSG00000006757,6,6,4,5,6,5,5,5
ENSG00000006831,9,9,9,10,9,9,9,9
ENSG00000007038,4,4,3,4,6,5,4,3
ENSG00000007047,8,8,7,10,7,8,8,8
ENSG00000007062,3,3,3,3,3,6,4,3
ENSG00000007080,8,8,7,8,8,8,7,7
ENSG00000007129,7,8,7,7,8,9,7,7
ENSG00000007168,10,11,11,11,10,10,10,10
ENSG00000007202,10,10,10,10,10,10,10,10
ENSG00000007237,10,12,10,12,8,11,10,10
ENSG00000007255,5,5,5,6,7,7,6,6
ENSG00000007264,6,6,6,7,7,7,8,7
ENSG00000007312,7,8,7,8,11,6,9,8
ENSG00000007341,6,5,6,7,7,6,6,6
ENSG00000007350,5,5,5,4,5,5,8,6
ENSG00000007376,6,6,5,7,7,7,6,6
ENSG00000007392,8,7,8,7,9,8,9,8
ENSG00000007402,4,4,4,4,5,6,6,6
ENSG00000007516,6,5,4,7,7,6,5,5
ENSG00000007520,7,7,6,8,7,7,8,7
ENSG00000007541,6,6,6,7,7,7,6,6
ENSG00000007545,6,6,6,6,7,7,7,7
ENSG00000007923,8,7,7,7,8,7,8,8
ENSG00000007944,10,9,10,10,8,9,9,10
ENSG00000007968,8,9,7,8,6,9,7,8
ENSG00000008018,9,9,9,9,9,9,9,8
ENSG00000008083,10,9,10,10,9,9,9,10
ENSG00000008086,9,8,9,8,6,8,7,8
ENSG00000008128,5,5,5,5,5,6,5,5
ENSG00000008130,13,12,13,13,10,12,11,12
ENSG00000008226,4,5,5,5,4,6,5,4
ENSG00000008256,6,7,7,6,4,6,7,6
ENSG00000008277,3,4,4,5,4,5,6,4
ENSG00000008282,8,8,8,8,8,9,9,8
ENSG00000008283,7,6,8,5,7,7,8,8
ENSG00000008294,10,10,10,10,10,10,10,10
ENSG00000008300,5,5,3,5,7,5,5,5
ENSG00000008324,7,6,7,6,7,7,7,6
ENSG00000008382,7,6,5,6,6,6,6,6
ENSG00000008394,7,8,7,8,5,8,7,7
ENSG00000008405,6,6,6,5,8,6,7,7
ENSG00000008438,7,10,6,12,6,12,6,5
ENSG00000008441,9,8,8,8,7,9,8,7
ENSG00000008513,11,10,10,10,11,10,10,10
ENSG00000008516,12,13,12,15,10,13,11,12
ENSG00000008517,8,9,8,10,9,9,10,10
ENSG00000008710,6,7,6,7,6,7,7,6
ENSG00000008838,7,7,7,7,8,7,8,8
ENSG00000008853,6,7,6,6,8,5,7,7
ENSG00000008869,9,8,9,7,10,8,9,9
ENSG00000008952,11,11,10,11,12,11,11,10
ENSG00000008988,10,10,9,10,11,10,12,10
ENSG00000009307,12,12,12,12,12,12,12,11
ENSG00000009335,9,9,9,8,9,9,9,8
ENSG00000009413,7,7,8,7,8,8,8,8
ENSG00000009694,6,6,4,5,4,5,5,5
ENSG00000009780,7,6,7,7,8,7,7,7
ENSG00000009790,10,10,10,10,11,11,11,11
ENSG00000009830,5,5,5,5,6,6,6,5
ENSG00000009844,9,9,9,8,8,8,8,8
ENSG00000009954,9,9,9,8,10,9,10,10
ENSG00000010017,8,9,9,9,8,9,9,9
ENSG00000010030,11,6,10,5,7,5,5,9
ENSG00000010072,7,7,7,6,7,7,6,6
ENSG00000010165,8,8,8,7,8,7,7,8
ENSG00000010219,5,6,5,5,6,8,6,6
ENSG00000010244,11,11,11,10,11,11,11,11
ENSG00000010256,9,9,9,10,8,9,8,9
ENSG00000010270,8,9,8,8,8,8,8,8
ENSG00000010278,7,6,7,9,9,7,7,7
ENSG00000010292,8,9,8,9,9,10,9,9
ENSG00000010295,7,8,8,9,8,8,8,8
ENSG00000010310,4,3,4,5,5,5,5,5
ENSG00000010318,5,5,5,5,6,6,5,5
ENSG00000010322,9,9,9,9,9,9,9,9
ENSG00000010327,11,11,9,9,6,9,9,8
ENSG00000010361,6,6,5,7,6,6,6,6
